#timestamp,edge_num_of_slots,cloud_num_of_slots,edge_counter_limit
0,0,0,24
1,0,0,24
2,0,0,24
3,0,0,24
4,0,0,24
5,0,0,24
6,0,0,24
7,0,0,24
8,0,0,24
9,0,0,24
10,0,0,24
11,0,0,24
12,0,0,24
13,0,0,24
14,0,0,24
15,0,0,24
16,0,0,24
17,0,0,24
18,0,20,24
19,0,44,24
20,0,44,24
21,0,44,24
22,0,44,24
23,0,44,24
24,0,44,24
25,0,44,24
26,0,44,24
27,0,44,24
28,0,44,24
29,0,44,24
30,0,44,24
31,0,44,24
32,0,44,24
33,0,44,24
34,0,44,24
35,0,44,24
36,0,44,24
37,0,44,24
38,0,44,24
39,0,44,24
40,0,44,24
41,0,44,24
42,0,44,24
43,0,44,24
44,0,44,24
45,0,44,24
46,0,44,24
47,0,44,24
48,0,44,24
49,0,44,24
50,0,44,24
51,0,44,24
52,0,44,24
53,0,44,24
54,0,44,24
55,0,44,24
56,0,44,24
57,0,44,24
58,0,44,24
59,0,44,24
60,0,44,24
61,0,44,24
62,0,44,24
63,0,44,24
64,0,44,24
65,0,44,24
66,0,44,24
67,0,44,24
68,0,44,24
69,0,44,24
70,0,44,24
71,0,44,24
72,0,44,24
73,0,44,24
74,0,44,24
75,0,44,24
76,0,44,24
77,0,44,24
78,0,44,24
79,0,44,24
80,0,44,24
81,0,44,24
82,0,44,24
83,0,44,24
84,0,44,24
85,0,44,24
86,0,44,24
87,0,44,24
88,0,44,24
89,0,44,24
90,0,44,24
91,0,44,24
92,0,44,24
93,0,44,24
94,0,44,24
95,0,44,24
96,0,44,24
97,0,44,24
98,0,44,24
99,0,44,24
100,0,44,24
101,0,44,24
102,0,44,24
103,0,44,24
104,0,44,24
105,0,44,24
106,0,44,24
107,0,44,24
108,0,44,24
109,0,44,24
110,0,44,24
111,0,44,24
112,0,44,24
113,0,44,24
114,0,44,24
115,0,44,24
116,0,44,24
117,0,44,24
118,0,44,24
119,0,44,24
120,0,44,24
121,0,44,24
122,0,44,24
123,0,44,24
124,0,44,24
125,0,44,24
126,0,44,24
