#timestamp,edge_num_of_slots,cloud_num_of_slots,edge_counter_limit
0,0,0,24
1,0,0,24
2,0,0,24
3,0,0,24
4,0,0,24
5,0,0,24
6,0,0,24
7,0,0,24
8,0,0,24
9,0,0,24
10,0,0,24
11,0,0,24
12,0,0,24
13,0,0,24
14,0,0,24
15,0,0,24
16,0,0,24
17,0,0,24
18,0,0,24
19,0,0,24
20,0,0,24
21,0,0,24
22,0,0,24
23,0,0,24
24,0,0,24
25,0,0,24
26,0,0,24
27,0,0,24
28,0,0,24
29,0,0,24
30,24,0,24
31,24,0,24
32,24,0,24
33,24,0,24
34,24,0,24
35,24,0,24
36,24,0,24
37,24,0,24
38,24,0,24
39,24,0,24
40,24,0,24
41,24,0,24
42,24,0,24
43,24,0,24
44,24,0,24
45,24,0,24
46,24,0,24
47,24,0,24
48,24,0,24
49,24,0,24
50,24,0,24
51,24,0,24
52,24,0,24
53,24,0,24
54,24,0,24
55,24,0,24
56,24,0,24
57,24,0,24
58,24,0,24
59,24,0,24
60,24,0,24
61,24,0,24
62,24,0,24
63,24,0,24
64,24,0,24
65,24,0,24
66,24,0,24
67,24,0,24
68,24,0,24
69,24,0,24
70,24,0,24
71,24,0,24
72,24,0,24
73,24,0,24
74,24,0,24
75,24,0,24
76,24,0,24
77,24,0,24
78,24,0,24
79,24,0,24
80,24,0,24
81,24,0,24
82,24,0,24
83,24,0,24
84,24,0,24
85,24,0,24
86,24,0,24
87,24,0,24
88,24,0,24
89,24,0,24
90,24,0,24
91,24,0,24
92,24,0,24
93,24,0,24
94,24,0,24
95,24,0,24
96,24,0,24
97,24,0,24
98,24,0,24
99,24,0,24
100,24,0,24
101,24,0,24
102,24,0,24
103,24,0,24
104,24,0,24
105,24,0,24
106,24,0,24
107,24,0,24
108,24,0,24
109,24,0,24
110,24,0,24
111,24,0,24
112,24,0,24
113,24,0,24
114,24,0,24
115,24,0,24
116,24,0,24
117,24,0,24
118,24,0,24
119,24,0,24
120,24,0,24
121,24,0,24
122,24,0,24
123,24,0,24
124,24,0,24
125,24,0,24
126,24,0,24
